Date,SimCorrected
06/01/2008,3835.102153
07/01/2008,3038.879793
08/01/2008,2001.252428
09/01/2008,1539.73882
10/01/2008,1217.959465
11/01/2008,1139.624237
12/01/2008,1015.30994
01/01/2009,911.2221259
02/01/2009,859.1909446
03/01/2009,1024.028163
04/01/2009,1625.42279
05/01/2009,3432.019207
06/01/2009,2664.288503
07/01/2009,2042.810217
08/01/2009,1638.204861
09/01/2009,1320.708865
10/01/2009,1242.371678
11/01/2009,1170.095615
12/01/2009,1030.278727
01/01/2010,937.8853388
02/01/2010,854.7740007
03/01/2010,953.3820154
04/01/2010,1776.822565
05/01/2010,2259.759685
06/01/2010,3522.150597
07/01/2010,1312.663563
08/01/2010,1971.515869
09/01/2010,1235.601705
10/01/2010,1184.404979
11/01/2010,1184.924172
12/01/2010,1030.369305
01/01/2011,921.9674541
02/01/2011,873.3960085
03/01/2011,1053.169933
04/01/2011,1774.321918
05/01/2011,1374.100274
06/01/2011,3272.176272
07/01/2011,3115.715872
08/01/2011,1663.453312
09/01/2011,1439.423502
10/01/2011,1144.018658
11/01/2011,1206.12771
12/01/2011,979.3108193
01/01/2012,879.5729376
02/01/2012,833.2258513
03/01/2012,913.9775283
04/01/2012,1074.442757
05/01/2012,1542.4163
06/01/2012,651.2784663
07/01/2012,672.0544711
08/01/2012,934.0325813
09/01/2012,1039.226429
10/01/2012,945.7422734
11/01/2012,898.3943965
12/01/2012,813.5494203
01/01/2013,786.7041771
02/01/2013,716.0588904
03/01/2013,764.8548971
04/01/2013,734.3138007
05/01/2013,1431.039777
06/01/2013,2119.852077
07/01/2013,1003.228359
08/01/2013,1623.279867
09/01/2013,2144.917887
10/01/2013,1250.821654
11/01/2013,1050.75907
12/01/2013,857.7745725
01/01/2014,800.5756023
02/01/2014,827.4407176
03/01/2014,861.5944676
04/01/2014,1387.736498
05/01/2014,2492.325762
06/01/2014,3532.746645
07/01/2014,2327.384588
08/01/2014,1693.70874
09/01/2014,1365.416549
10/01/2014,1402.717879
11/01/2014,1125.08324
12/01/2014,930.9200149
01/01/2015,915.76515
02/01/2015,884.1194473
03/01/2015,1319.448355
04/01/2015,1976.718855
05/01/2015,5291.220506
06/01/2015,6266.7648
07/01/2015,3052.460554
08/01/2015,1965.57137
09/01/2015,1441.778325
10/01/2015,1439.406768
11/01/2015,1221.248147
12/01/2015,1121.183239
01/01/2016,1041.543053
02/01/2016,1102.611357
03/01/2016,1440.688245
04/01/2016,1901.741137
05/01/2016,2623.073341
06/01/2016,2741.523044
07/01/2016,1514.851948
08/01/2016,2037.415698
09/01/2016,1362.303254
10/01/2016,1145.143775
11/01/2016,1139.131788
12/01/2016,1032.837984
