OBJECTID,POI_ID,SUM_LENGTHKM,MIN_HYDROSEQ,MAX_STARTFLAG,MAX_SO,SUM_TRAV_TIME,MAX_CUMDRAINAG,TOCOMID2,To_POI_ID,PROD_UNIT,tosegment_orig,tosegment_comment,seg_id,tosegment,region,headwaterArea,FTYPE,TOFTYPE,regionOutlet,ToRegion,ToRegionToSegment,seg_id_nat,seg_id_reg,Shape_Length
80,953351,8.935,749900441,0,2,6.262381711,57.7206,953343,951919,11d,805,,819,805,11,2,StreamRiver,StreamRiver,0,,,34448,819,8935.8289
81,953363,8.295,749900454,1,1,7.547629397,19.3671,953359,953351,11d,819,,820,819,11,2,StreamRiver,StreamRiver,0,,,34449,820,8295.022457
82,954551,9.398,749900235,1,1,7.725514878,10.1979,954545,951897,11d,804,,821,804,11,2,StreamRiver,StreamRiver,0,,,34450,821,9397.841658
83,974520,26.307,748700741,0,4,22.59732678,306.6498,974514,974946,11d,825,,822,825,11,2,StreamRiver,StreamRiver,0,,,34451,822,26306.13361
84,974916,12.765,748700867,0,7,4.418445435,23725.1322,974920,974944,11d,824,,823,824,11,2,ArtificialPath,ArtificialPath,0,,,34452,823,12764.19244
85,974944,14.394,748700801,0,7,7.683653243,24639.5961,974950,976160,11d,830,,824,830,11,2,ArtificialPath,ArtificialPath,0,,,34453,824,14394.65482
86,974946,6.222,748700738,0,4,4.614730239,325.6749,974950,976160,11d,830,,825,830,11,2,ArtificialPath,ArtificialPath,0,,,34454,825,6222.581573
87,975006,13.946,749000001,0,6,5.055571096,18273.1149,974898,974916,11d,823,,826,823,11,2,ArtificialPath,ArtificialPath,0,,,34455,826,13946.11767
88,975452,11.949,748700062,1,1,15.09833592,33.5484,976142,976146,11d,829,,827,829,11,2,StreamRiver,ArtificialPath,0,,,34456,827,11948.85424
89,975692,18.986,748700157,0,4,11.56608561,1326.3903,976198,976196,11d,834,,828,834,11,2,StreamRiver,ArtificialPath,0,,,34457,828,18985.47251
90,976146,9.239,748700060,0,1,14.96555682,221.4756,0,,11d,0,,829,832,11,1,ArtificialPath,,0,,,34458,829,9238.971166
91,976160,14.115,748700714,0,7,4.934345136,25267.9239,976162,976164,11d,831,,830,831,11,2,ArtificialPath,ArtificialPath,0,,,34459,830,14115.137
